[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:120] Here's our task list: setup, discover_urls, fetch_urls, transfer_files_locally, wrapup
[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:138] Pushing first task to queue: setup
[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:194] Current task: setup
[2025-09-24 16:39:46] [class-ss-archive-creation-job.php:208] Performing task: setup
[2025-09-24 16:39:46] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-09-24 16:39:46] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\Lenovo\Local Sites\preloved\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1758731986\
[2025-09-24 16:39:46] [class-ss-setup-task.php:72] Adding origin URL to queue: http://preloved.local/
[2025-09-24 16:39:46] [class-ss-setup-task.php:155] Adding files from directory: C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\ai-builder\.htaccess to queue as: http://preloved.local/wp-content/uploads/ai-builder/.htaccess
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\ai-builder\index.html to queue as: http://preloved.local/wp-content/uploads/ai-builder/index.html
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\ast-block-templates-json\.htaccess to queue as: http://preloved.local/wp-content/uploads/ast-block-templates-json/.htaccess
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\ast-block-templates-json\index.html to queue as: http://preloved.local/wp-content/uploads/ast-block-templates-json/index.html
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\.htaccess to queue as: http://preloved.local/wp-content/uploads/astra-sites/.htaccess
[2025-09-24 16:39:46] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\index.html to queue as: http://preloved.local/wp-content/uploads/astra-sites/index.html
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-1.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-1.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-2.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-2.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-3.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-3.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-4.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-4.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-categories.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-categories.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-blocks-requests.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-blocks-requests.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-all-site-categories-and-tags.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-all-site-categories-and-tags.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-all-site-categories.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-all-site-categories.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-1.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-1.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-10.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-10.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-11.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-11.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-12.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-12.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-13.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-13.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-14.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-14.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-15.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-15.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-16.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-16.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-17.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-17.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-18.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-18.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-19.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-19.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-2.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-2.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-20.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-20.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-21.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-21.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-22.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-22.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-23.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-23.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-24.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-24.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-25.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-25.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-26.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-26.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-27.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-27.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-28.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-28.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-29.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-29.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-3.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-3.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-30.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-30.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-31.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-31.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-32.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-32.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-33.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-33.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-34.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-34.json
[2025-09-24 16:39:47] [class-ss-setup-task.php:160] Adding file C:/Users/Lenovo/Local Sites/preloved/app/public/wp-content/uploads\astra-sites\json\astra-sites-and-pages-page-35.json to queue as: http://preloved.local/wp-content/uploads/astra-sites/json/astra-sites-and-pages-page-35.json
